="Exploration: Including Cases after 2011"
="",="(1)",=""
="",="第一子育児休業取得",=""
="第一子育児休業取得",="",=""
="本人学歴（ref: 中学・高校）",="0.000",="(.)"
="短大・高専・専門",="-0.109",="(0.396)"
="四大以上",="0.342",="(0.562)"
="本人学歴（ref: 中学・高校）",="0.000",="(.)"
="短大・高専・専門",="-0.456",="(0.441)"
="四大以上",="0.278",="(0.402)"
="不明",="-1.324†",="(0.715)"
="出産コーホート（ref: 1986-1991）",="0.000",="(.)"
="1992-1994",="-0.063",="(0.813)"
="1995-2001",="0.605",="(0.686)"
="2002-2004",="1.497†",="(0.785)"
="2005-2009",="1.267",="(0.776)"
="本人結婚時職（ref: 専門管理）",="0.000",="(.)"
="事務",="-0.676†",="(0.392)"
="販売",="-1.562**",="(0.536)"
="熟練・半非熟練",="-0.806†",="(0.487)"
="出産時従業上の地位（ref: 正規雇用）",="0.000",="(.)"
="非正規雇用",="-1.549***",="(0.435)"
="出産時企業規模（ref: 1-29人）",="0.000",="(.)"
="30-99人",="0.961†",="(0.535)"
="100-299人",="-0.149",="(0.562)"
="300-1999人",="0.870†",="(0.459)"
="2000人以上",="0.869",="(0.536)"
="官公庁",="1.656**",="(0.551)"
="わからない",="1.070",="(0.683)"
="出産時親同居（ref: 非同居）",="0.000",="(.)"
="同居",="0.437",="(0.550)"
="tenure",="0.011**",="(0.004)"
="Constant",="-1.213",="(0.841)"
="Observations",="293",=""
="ll",="-142.307",=""
="aic",="328.614",=""
="r2_p",="0.299",=""
="Standard errors in parentheses"
="† p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
