="Exploration: Including Cases after 2011"
="",="(1)",="",="(2)",=""
="",="quit",="",="quit",=""
="quit",="",="",="",=""
="lmonth",="-0.074***",="(0.013)",="-0.077***",="(0.020)"
="育児休暇取得有無（ref: 非取得）",="0.000",="(.)",="0.000",="(.)"
="取得",="-1.841***",="(0.398)",="-2.135***",="(0.517)"
="取得 # lmonth",="0.083***",="(0.022)",="0.101**",="(0.031)"
="lmonth2",="0.051***",="(0.013)",="0.054**",="(0.018)"
="取得 # lmonth2",="-0.068**",="(0.023)",="-0.093**",="(0.033)"
="本人学歴（ref: 中学・高校）",="0.000",="(.)",="0.000",="(.)"
="短大・高専・専門",="-0.095",="(0.223)",="0.173",="(0.329)"
="四大以上",="0.084",="(0.331)",="-0.074",="(0.509)"
="本人学歴（ref: 中学・高校）",="0.000",="(.)",="0.000",="(.)"
="短大・高専・専門",="0.017",="(0.297)",="-0.553",="(0.416)"
="四大以上",="0.390†",="(0.234)",="0.482",="(0.323)"
="不明",="0.308",="(0.319)",="-0.143",="(0.613)"
="出産コーホート（ref: 1986-1991）",="0.000",="(.)",="0.000",="(.)"
="1992-1994",="0.362",="(0.434)",="1.054",="(0.824)"
="1995-2001",="0.458",="(0.363)",="0.619",="(0.691)"
="2002-2004",="0.317",="(0.440)",="0.323",="(0.776)"
="2005-2009",="0.503",="(0.465)",="0.453",="(0.787)"
="本人結婚時職（ref: 専門管理）",="0.000",="(.)",="0.000",="(.)"
="事務",="0.152",="(0.254)",="0.398",="(0.345)"
="販売",="0.136",="(0.302)",="0.681",="(0.425)"
="熟練・半非熟練",="-0.250",="(0.312)",="0.460",="(0.439)"
="出産時従業上の地位（ref: 正規雇用）",="0.000",="(.)",="0.000",="(.)"
="非正規雇用",="0.023",="(0.242)",="0.604",="(0.379)"
="出産時企業規模（ref: 1-29人）",="0.000",="(.)",="0.000",="(.)"
="30-99人",="0.311",="(0.311)",="0.879*",="(0.405)"
="100-299人",="0.373",="(0.348)",="0.606",="(0.471)"
="300-1999人",="0.016",="(0.264)",="-0.083",="(0.396)"
="2000人以上",="0.291",="(0.333)",="0.738†",="(0.418)"
="官公庁",="-1.540***",="(0.444)",="-2.572*",="(1.059)"
="わからない",="0.186",="(0.349)",="-0.550",="(0.579)"
="出産時親同居（ref: 非同居）",="0.000",="(.)",="0.000",="(.)"
="同居",="-0.113",="(0.366)",="-0.023",="(0.566)"
="tenurex",="-0.050†",="(0.029)",="-0.006",="(0.035)"
="Constant",="-3.295***",="(0.508)",="-4.118***",="(0.932)"
="Observations",="16146",="",="8489",=""
="ll",="-695.339",="",="-379.377",=""
="aic",="1444.679",="",="812.754",=""
="r2_p",="0.098",="",="0.116",=""
="Standard errors in parentheses"
="† p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
