="",="(1)",=""
="",="quit",=""
="1._at # 育児休暇取得有無（ref: 非取得）",="0.0337",="(4.98)"
="1._at # 取得",="0.00604",="(2.97)"
="2._at # 育児休暇取得有無（ref: 非取得）",="0.0315",="(5.17)"
="2._at # 取得",="0.00609",="(3.10)"
="3._at # 育児休暇取得有無（ref: 非取得）",="0.0294",="(5.37)"
="3._at # 取得",="0.00614",="(3.24)"
="4._at # 育児休暇取得有無（ref: 非取得）",="0.0275",="(5.56)"
="4._at # 取得",="0.00620",="(3.39)"
="5._at # 育児休暇取得有無（ref: 非取得）",="0.0257",="(5.75)"
="5._at # 取得",="0.00625",="(3.54)"
="6._at # 育児休暇取得有無（ref: 非取得）",="0.0240",="(5.93)"
="6._at # 取得",="0.00629",="(3.69)"
="7._at # 育児休暇取得有無（ref: 非取得）",="0.0225",="(6.10)"
="7._at # 取得",="0.00634",="(3.85)"
="8._at # 育児休暇取得有無（ref: 非取得）",="0.0211",="(6.25)"
="8._at # 取得",="0.00638",="(4.01)"
="9._at # 育児休暇取得有無（ref: 非取得）",="0.0198",="(6.39)"
="9._at # 取得",="0.00643",="(4.18)"
="10._at # 育児休暇取得有無（ref: 非取得）",="0.0186",="(6.49)"
="10._at # 取得",="0.00647",="(4.34)"
="11._at # 育児休暇取得有無（ref: 非取得）",="0.0175",="(6.58)"
="11._at # 取得",="0.00651",="(4.51)"
="12._at # 育児休暇取得有無（ref: 非取得）",="0.0165",="(6.63)"
="12._at # 取得",="0.00654",="(4.66)"
="13._at # 育児休暇取得有無（ref: 非取得）",="0.0155",="(6.66)"
="13._at # 取得",="0.00658",="(4.82)"
="14._at # 育児休暇取得有無（ref: 非取得）",="0.0146",="(6.66)"
="14._at # 取得",="0.00661",="(4.96)"
="15._at # 育児休暇取得有無（ref: 非取得）",="0.0138",="(6.63)"
="15._at # 取得",="0.00664",="(5.09)"
="16._at # 育児休暇取得有無（ref: 非取得）",="0.0131",="(6.58)"
="16._at # 取得",="0.00667",="(5.21)"
="17._at # 育児休暇取得有無（ref: 非取得）",="0.0123",="(6.52)"
="17._at # 取得",="0.00669",="(5.31)"
="18._at # 育児休暇取得有無（ref: 非取得）",="0.0117",="(6.43)"
="18._at # 取得",="0.00672",="(5.39)"
="19._at # 育児休暇取得有無（ref: 非取得）",="0.0111",="(6.33)"
="19._at # 取得",="0.00674",="(5.45)"
="20._at # 育児休暇取得有無（ref: 非取得）",="0.0105",="(6.22)"
="20._at # 取得",="0.00676",="(5.50)"
="21._at # 育児休暇取得有無（ref: 非取得）",="0.00996",="(6.11)"
="21._at # 取得",="0.00678",="(5.52)"
="22._at # 育児休暇取得有無（ref: 非取得）",="0.00946",="(5.99)"
="22._at # 取得",="0.00679",="(5.53)"
="23._at # 育児休暇取得有無（ref: 非取得）",="0.00900",="(5.87)"
="23._at # 取得",="0.00681",="(5.52)"
="24._at # 育児休暇取得有無（ref: 非取得）",="0.00857",="(5.74)"
="24._at # 取得",="0.00682",="(5.50)"
="25._at # 育児休暇取得有無（ref: 非取得）",="0.00816",="(5.63)"
="25._at # 取得",="0.00683",="(5.46)"
="26._at # 育児休暇取得有無（ref: 非取得）",="0.00779",="(5.51)"
="26._at # 取得",="0.00683",="(5.41)"
="27._at # 育児休暇取得有無（ref: 非取得）",="0.00743",="(5.39)"
="27._at # 取得",="0.00684",="(5.36)"
="28._at # 育児休暇取得有無（ref: 非取得）",="0.00711",="(5.28)"
="28._at # 取得",="0.00684",="(5.30)"
="29._at # 育児休暇取得有無（ref: 非取得）",="0.00680",="(5.18)"
="29._at # 取得",="0.00684",="(5.23)"
="30._at # 育児休暇取得有無（ref: 非取得）",="0.00651",="(5.08)"
="30._at # 取得",="0.00683",="(5.16)"
="31._at # 育児休暇取得有無（ref: 非取得）",="0.00624",="(4.98)"
="31._at # 取得",="0.00683",="(5.09)"
="32._at # 育児休暇取得有無（ref: 非取得）",="0.00599",="(4.89)"
="32._at # 取得",="0.00682",="(5.02)"
="33._at # 育児休暇取得有無（ref: 非取得）",="0.00575",="(4.80)"
="33._at # 取得",="0.00681",="(4.95)"
="34._at # 育児休暇取得有無（ref: 非取得）",="0.00553",="(4.72)"
="34._at # 取得",="0.00680",="(4.88)"
="35._at # 育児休暇取得有無（ref: 非取得）",="0.00532",="(4.64)"
="35._at # 取得",="0.00679",="(4.82)"
="36._at # 育児休暇取得有無（ref: 非取得）",="0.00513",="(4.57)"
="36._at # 取得",="0.00677",="(4.75)"
="37._at # 育児休暇取得有無（ref: 非取得）",="0.00494",="(4.50)"
="37._at # 取得",="0.00675",="(4.69)"
="38._at # 育児休暇取得有無（ref: 非取得）",="0.00477",="(4.44)"
="38._at # 取得",="0.00673",="(4.63)"
="39._at # 育児休暇取得有無（ref: 非取得）",="0.00461",="(4.38)"
="39._at # 取得",="0.00671",="(4.57)"
="40._at # 育児休暇取得有無（ref: 非取得）",="0.00446",="(4.32)"
="40._at # 取得",="0.00668",="(4.52)"
="41._at # 育児休暇取得有無（ref: 非取得）",="0.00432",="(4.27)"
="41._at # 取得",="0.00665",="(4.47)"
="42._at # 育児休暇取得有無（ref: 非取得）",="0.00419",="(4.22)"
="42._at # 取得",="0.00662",="(4.42)"
="43._at # 育児休暇取得有無（ref: 非取得）",="0.00406",="(4.18)"
="43._at # 取得",="0.00659",="(4.37)"
="44._at # 育児休暇取得有無（ref: 非取得）",="0.00395",="(4.13)"
="44._at # 取得",="0.00656",="(4.33)"
="45._at # 育児休暇取得有無（ref: 非取得）",="0.00384",="(4.09)"
="45._at # 取得",="0.00652",="(4.29)"
="46._at # 育児休暇取得有無（ref: 非取得）",="0.00373",="(4.06)"
="46._at # 取得",="0.00649",="(4.25)"
="47._at # 育児休暇取得有無（ref: 非取得）",="0.00364",="(4.02)"
="47._at # 取得",="0.00645",="(4.21)"
="48._at # 育児休暇取得有無（ref: 非取得）",="0.00355",="(3.99)"
="48._at # 取得",="0.00640",="(4.18)"
="49._at # 育児休暇取得有無（ref: 非取得）",="0.00346",="(3.96)"
="49._at # 取得",="0.00636",="(4.15)"
="50._at # 育児休暇取得有無（ref: 非取得）",="0.00338",="(3.94)"
="50._at # 取得",="0.00632",="(4.12)"
="51._at # 育児休暇取得有無（ref: 非取得）",="0.00331",="(3.91)"
="51._at # 取得",="0.00627",="(4.09)"
="52._at # 育児休暇取得有無（ref: 非取得）",="0.00324",="(3.89)"
="52._at # 取得",="0.00622",="(4.06)"
="53._at # 育児休暇取得有無（ref: 非取得）",="0.00318",="(3.87)"
="53._at # 取得",="0.00617",="(4.03)"
="54._at # 育児休暇取得有無（ref: 非取得）",="0.00312",="(3.85)"
